Weeks,Days,Temperature,Degree_days,Unplanted,Gatcher,GS50a,Potam,Suneca
8,56,15,280,5.748,6.773,6.691,7.613,6.703
8,56,20,560,5.915,9.513,7.42,9.285,9.121
8,56,22.5,700,6.381,9.956,8.214,9.024,10.012
8,56,25,840,6.51,9.354,8.254,9.732,9.202
10,70,15,350,5.847,7.435,6.043,5.972,6.846
10,70,20,700,6.157,10.338,8.915,10.284,10.175
10,70,22.5,875,6.191,10.423,9.183,10.691,10.075
10,70,25,1050,6.364,10.58,9.045,10.487,10.344
12,84,15,420,5.755,9.926,8.187,8.745,9.573
12,84,20,840,6.978,11.723,9.852,11.334,11.684
12,84,22.5,1050,6.382,12.272,10.297,12.118,11.359
12,84,25,1260,6.759,11.803,10.115,12.065,11.487
14,98,15,490,5.754,10.269,8.232,10.014,9.775
14,98,20,980,6.958,11.84,10.141,11.882,11.633
14,98,22.5,1225,7.305,13.101,10.015,12.44,12.731
14,98,25,1470,7.509,13.192,11.075,12.453,12.514
16,112,15,560,5.892,10.824,9.352,10.271,10.279
16,112,20,1120,7.454,12.591,10.004,13.006,13.128
16,112,22.5,1400,7.144,13.532,11.35,13.009,13.25
16,112,25,1680,8.084,13.032,11.598,12.653,12.995
18,126,15,630,7.216,11.168,9.357,10.892,10.534
18,126,20,1260,6.957,13.417,11.005,12.209,12.998
18,126,22.5,1575,7.549,13.167,10.687,12.64,13.61
18,126,25,1890,7.202,12.913,11.068,12.458,13.472
